Date : 2026-01-25 13:34:10
Directory : /home/danvic/JARVIS/Jarvis
Total : 74 files,  2213 codes, 442 comments, 698 blanks, all 3353 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |         71 |      2,194 |        442 |        697 |      3,333 |
| JSON     |          3 |         19 |          0 |          1 |         20 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                              |         74 |      2,213 |        442 |        698 |      3,353 |
| . (Files)                                                                      |          2 |         57 |         10 |         17 |         84 |
| core                                                                           |         34 |      1,154 |        297 |        374 |      1,825 |
| core (Files)                                                                   |         26 |        962 |        260 |        325 |      1,547 |
| core/memory                                                                    |          8 |        192 |         37 |         49 |        278 |
| data                                                                           |          3 |         19 |          0 |          1 |         20 |
| data (Files)                                                                   |          2 |         19 |          0 |          0 |         19 |
| data/memory                                                                    |          1 |          0 |          0 |          1 |          1 |
| dev                                                                            |          4 |          8 |          0 |          4 |         12 |
| modules                                                                        |          5 |         98 |          7 |         33 |        138 |
| modules (Files)                                                                |          1 |          0 |          0 |          1 |          1 |
| modules/llm                                                                    |          4 |         98 |          7 |         32 |        137 |
| plugins                                                                        |          4 |         49 |         19 |         22 |         90 |
| plugins_available                                                              |         18 |        782 |        108 |        230 |      1,120 |
| plugins_available (Files)                                                      |          3 |         18 |          0 |          9 |         27 |
| plugins_available/filesystem                                                   |         12 |        549 |         79 |        183 |        811 |
| plugins_available/filesystem (Files)                                           |          7 |        328 |         29 |        108 |        465 |
| plugins_available/filesystem/utils                                             |          5 |        221 |         50 |         75 |        346 |
| plugins_available/web                                                          |          3 |        215 |         29 |         38 |        282 |
| safe                                                                           |          2 |         19 |          1 |          4 |         24 |
| sandbox                                                                        |          2 |         27 |          0 |         13 |         40 |
+--------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                       | language | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| /home/danvic/JARVIS/Jarvis/__init__.py                                         | Python   |          0 |          0 |          1 |          1 |
| /home/danvic/JARVIS/Jarvis/core/LLMManager.py                                  | Python   |         43 |         14 |         14 |         71 |
| /home/danvic/JARVIS/Jarvis/core/__init__.py                                    | Python   |          0 |          0 |          1 |          1 |
| /home/danvic/JARVIS/Jarvis/core/action_plan.py                                 | Python   |          8 |          0 |          1 |          9 |
| /home/danvic/JARVIS/Jarvis/core/action_request.py                              | Python   |         11 |          0 |          1 |         12 |
| /home/danvic/JARVIS/Jarvis/core/action_result.py                               | Python   |         19 |          4 |          8 |         31 |
| /home/danvic/JARVIS/Jarvis/core/answer.py                                      | Python   |         10 |          0 |          3 |         13 |
| /home/danvic/JARVIS/Jarvis/core/answer_pipeline.py                             | Python   |         93 |         34 |         31 |        158 |
| /home/danvic/JARVIS/Jarvis/core/bootstrap.py                                   | Python   |         11 |          0 |          3 |         14 |
| /home/danvic/JARVIS/Jarvis/core/config.py                                      | Python   |         37 |         26 |         15 |         78 |
| /home/danvic/JARVIS/Jarvis/core/context.py                                     | Python   |         23 |         11 |         12 |         46 |
| /home/danvic/JARVIS/Jarvis/core/decision.py                                    | Python   |         33 |          0 |          7 |         40 |
| /home/danvic/JARVIS/Jarvis/core/dev_mode.py                                    | Python   |         17 |          0 |          7 |         24 |
| /home/danvic/JARVIS/Jarvis/core/dev_mode_guard.py                              | Python   |         45 |          0 |         11 |         56 |
| /home/danvic/JARVIS/Jarvis/core/errors.py                                      | Python   |         82 |         44 |         41 |        167 |
| /home/danvic/JARVIS/Jarvis/core/executor.py                                    | Python   |        115 |         57 |         39 |        211 |
| /home/danvic/JARVIS/Jarvis/core/intent.py                                      | Python   |         56 |         11 |         13 |         80 |
| /home/danvic/JARVIS/Jarvis/core/llm_contract.py                                | Python   |         25 |          0 |          9 |         34 |
| /home/danvic/JARVIS/Jarvis/core/logger.py                                      | Python   |         14 |          0 |          1 |         15 |
| /home/danvic/JARVIS/Jarvis/core/main.py                                        | Python   |         63 |         12 |         20 |         95 |
